4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
B2224+65     2225+6535  1 43072.       40.        1707.      1.        3.        5.      1
B2224+65     2225+6535  2 51900.                     0.14     .03     -2.9        .2     25
B2224+65     2225+6535  3 52950.                     0.08     .04     -1.4        .2     25
B2224+65     2225+6535  4 53434.       13.           0.2      .1                         25
J2229+6114   2229+6114  1 53064.        3.        1139.3      .3      12.5        .1     60
J2229+6114   2229+6114  2 54110.        1.         327.      4.       -3.        6.      60
J2229+6114   2229+6114  3 54781.54       .03         4.5      .2       0.1        .1     60
B2255+58     2257+5909  1 49488.2        .2          0.75     .04      1.0        .3     60, also in 29
1E 2259+586  2301+5852  1 52443.9        .2       4104.     28.     1111.       71.      28
B2334+61     2337+6151  1 53642.       13.       20470.      1.       23.8        .4     60, also in 57
